一	one
二	two
三	three
了	total
子	child
女	woman
好	like
口	mouth
言	say
下	below
不	un
十	ten
古	old
計	measure
七	seven
比	compare
日	sun
旨	gist
早	early
白	white
皆	everyone
水	water
氷	ice
泳	swim
月	moon
明	bright
朝	morning
火	fire
丁	nail
可	possible
田	rice field
町	town
入	entrance
人	person
何	what
信	believe
化	transform
花	flower
荷	luggage
内	inside
肉	meat
円	yen
姉	older sister
目	eye
帽	hat
自	my-own
方	direction
万	ten thousand
又	again
文	sentence
心	heart
必	definitely
怒	mad
息	breath
思	think
忙	busy
忘	forget
慢	patience
漫	manga
悪	bad
夕	evening
多	many
夢	dream
夜	late night
名	name
死	death
外	outside
上	above
点	point
安	safe
字	letter
八	eight
穴	hole
六	six
公	public
治	cure
始	begin
態	look like
立	stand up
幸	happiness
泣	cry
暗	dark
音	sound
意	meaning
億	hundred million
門	gate
間	interval
問	question
切	cut
分	understand
認	admit
力	strong
努	effort
男	man
九	nine
丸	round
半	half
平	equal
呼	call
小	small
少	few
省	ministry-cut-down-on
京	capital
糸	string
線	line
系	group-tribe
係	be-involved-with
用	utilize
汗	sweat
千	thousand
舌	tongue
話	conversation
活	vivid-lively
辞	quit
土	earth
黒	black
仕	work
結	bind
者	professional
緒	together
暑	heat
無	without
誰	who
準	prepare
馬	horse
止	stop
歩	walk
足	foot
正	correct
是	absolutely
定	plan
走	run
超	exceed
駅	station
昼	noon
訳	reason
手	hand
払	pay
指	finger
担	carry
接	contact
耳	ear
取	take
最	most
趣	hobby
恥	disgrace
簡	simplicity
作	make
近	near
辺	around-herearound-that-time
込	get-crowded
達	pluraldelivery
木	tree
本	book-the-real
体	body
休	rest
新	new
集	collect
想	ideaimagination
禁	prohibition
果	fruit-result
東	east
練	practice
案	guideproposal
杯	one-cup-of-liquid
和	peace-japan
秘	secret
私	me-private
秒	one-second
利	handy
香	good-smell
秋	fall
末	the-tip
未	not-yet
味	flavor
米	rice-america
迷	perplexed
断	decisionjudgementrefuse
菜	vegetable
来	comefuture
番	number
大	big
奥	waaay-in-the-back
臭	stinky-odor
映	project-reflect
英	heroic
犬	dog
然	nature
燃	burn
太	fat
験	test
漢	chinese
難	difficult
勤	be-employed-at
募	recruit
困	trouble
回	rotate-times
国	country
固	hard
個	individual
囲	surround
王	king
理	reason
玉	ball
主	mastermainly
注	pour-be-careful
住	dwell
駐	stop-at
害	damage
割	divide
素	element
青	blue
精	spirit
情	emotion
生	life-birth
性	sex-essential-nature
乾	dessicate
母	your-moms
毒	poison-addict
毎	every
海	ocean
悔	regret
中	middle
仲	friendship
虫	insizzect
居	live
所	area-attribute
戻	return
毛	fur
甘	sweet
見	look
焼	roast-grill
現	present-time
親	parentskindness
兄	older-brother
況	condition
貝	shellfish-money
買	buy
貧	poverty
質	quality
員	clerk
側	side-of-something
慣	adapt
負	lose
魚	fish
角	horncorner
触	touch
売	sell
続	continue
読	read
窓	window
探	look-for
深	deep
具	tool
元	original
完	complete
光	shining
西	west
酒	liquor
酔	drunk
要	important
煙	smoky
夫	husband
替	substitute
単	merely
消	erase
受	receive
愛	love
客	customer
落	falldrop
格	character-aspect
絡	get-entangled
路	road
条	clause
誘	invite-entice
携	carry-in-hand
級	level
扱	treatment
当	hit-the-target
帰	go-back-home
曜	day-of-the-week
工	craft-or-industry
空	air
写	copy
汚	dirty
号	id-number
考	consider
式	ritual
代	generation-instead-of
我	we
域	region
戦	fight
機	machine
職	employment
識	be-conscious
区	ward
緊	tense
四	the-numeral-4
換	exchange
欠	lack
歌	sing
数	integer-to-count
枚	counter-for-flat-objects
敗	be-defeated
故	breakdown-accident
政	politics
放	release
教	teach
激	intense
敵	enemy
適	suitable
起	wake-up-occur
記	diary
配	distribute
求	demandask
球	sphere
厳	strict
歴	chronicle
備	furnish
産	childbirth-production-of-things
反	anti
返	return-or-respond
販	transaction
成	become
越	go-beyond
蔵	traditional-storehouse
歳	years-old
減	decrease
感	feeling
旅	trip
遠	far
園	public-park
表	express
袋	sack
裏	backside
良	good
娘	daughter
限	limit
階	story-of-a-building
院	institution
都	major-city
部	section
状	circumstance
寝	go-to-bed
北	north
背	stature-back-of-the-body
制	system
先	earlier-the-tip
洗	wash
面	front-surface-face
百	hundred
優	kindheartedexcel
石	rock
山	mountain
帯	belt
密	hard-to-see
岸	shore
鳥	bird
豆	bean
喜	rejoice
嬉	stoked
頭	head
夏	summer
願	beseech
頑	stubborn
類	categorytype
題	topic
川	river
順	sequence
訓	kunyomi
首	neck
道	street
税	tax
説	explain
脱	get-naked
前	before
￥	yen
南	south
遅	slow-late
差	discriminate
着	wear-arrive
義	righteousness
様	important-person
天	heaven
笑	laugh
送	send
関	connected-to
勝	win
弟	younger-brother
強	burly
引	pull
赤	red
恋	passion
変	change
長	long-boss
張	stretch
金	gold
鏡	mirror
銀	silver
茶	tea
全	all
食	eat
飲	drink
飯	rice-meal
捨	throw-away
余	excess
途	on-the-way
界	the-world
合	to-suit
答	answer
今	now
念	concern
令	command
命	life
冷	cold-thing
冬	winter
終	end
次	next
姿	someones-shape-body-form
寒	cold
春	spring-sexy
実	truth
美	beauty
同	same
詞	part-of-speech
気	mood
決	decide
快	pleasant
付	stick-to
守	protect
時	time
尊	esteem
父	dad
交	combine
対	against
校	school
効	effective
専	specialty
出	pull-out-hand-over
世	society
葉	leaf
歯	tooth
悩	worry
画	a-drawing
両	both
満	full
離	divorce-physical-distance-between-things
短	short-brief
族	family
知	know
失	miss-out-on
鉄	iron
観	point-of-view
権	rights
確	make-certain
車	car
重	heavy-overlap
乗	ride-a-vehicle
連	take-with-inform-of
運	carry-luck
種	seed-type-or-kind
動	movement
働	to-do-your-job
非	injustice-mistake
悲	sad
排	eliminate
軽	lightweight
経	experience
怖	scary
右	right
左	left
若	young
有	exist
在	be-real
存	be-aware-of
友	friend
暖	warm-place
髪	hair
影	shadow
顔	face
珍	very-rare
腐	rot
府	government
庫	warehouse
店	shop
座	sit
広	wide
席	seat
度	times
魔	devil
建	build
健	healthy
誕	birthday-birth
氏	mr-speculum-radical
紙	paper
低	low
婚	marriage
眠	sleepy
曲	song-turn-or-bend
登	climb
祭	festival
際	edge
察	police
開	open
発	launch
形	form
型	type-proper-way
午	noon
許	allow
牛	cow
件	incident
特	special
解	solve-untie
物	animal-thing
湯	hot-water
陽	sun
傷	wound
場	place
色	color
絶	extinct
勉	try-hard
声	voice
像	statue-image
家	home
行	go
律	regulation
後	afterwards-behind
待	wait
得	bargain-obtain
術	art-technique
育	grow-up-be-raised
倒	knock-down
去	past-tense
法	law
屋	store
室	room-suffix
留	absent-stopped
転	roll-over
伝	transmit
芸	art
会	big-meeting
絵	picture
街	shopping-district
熱	hot-thing-fever
抗	oppose
風	wind-the-flu-style
役	role
投	throw
殺	kill
真	really
県	prefecture
懸	suspend-gamble
直	correct-a-probem-direct-contact
値	price-or-ranking
植	plant
別	separate
例	example
支	support
技	technique
皮	skin
波	wave
彼	him
予	beforehand
野	field
務	perform-a-task
束	bundle-of-sticks
頼	ask-a-favor
速	fast
通	pass
病	sick-kanji
痛	hurts
疲	get-tired-from-hard-work
痴	molester
伸	stretch
押	push
由	freedom-reason
偶	coincidence
雨	rain
雰	atmosphere
業	business
僕	me-for-dudes
電	electricity
抱	hug
敬	respect
警	the-fuzz
驚	astonish
局	department
約	promise-roughly-speaking
的	motivation-al
均	average
盗	steal-by-stealth
温	hot-or-warm-thing
血	blood
船	ship
般	general-overall
猫	cat
独	solitary
犯	commit-a-crime
御	the-honorific-o
危	dangerous
服	clothes
組	ones-team
助	save
社	company
神	god-kanji
礼	polite
乱	disorder
乳	milk
初	first-time
裕	abundant
欲	want
容	appearance
鼻	nose
械	contraption
飛	fly
習	learn
弱	weak
昔	long-ago
黄	yellow
横	side-arrogant
共	with
普	normal
供	follower
選	choose
港	harbor
異	to-differ
暴	rampage
再	again-once-more
捕	capture
降	descend-rainfall-get-out-of-vehicle
年	year
五	five
語	language
違	different-and-therefore-wrong
料	ingredients-fees
科	science
図	diagram-map
史	history
更	all-over-again
使	use
便	convenient-poop
身	ones-own-flesh
謝	apologize
地	area
他	other
呂	washtub
館	big-hall
追	follow
管	tube
営	manage-a-business
労	labor
学	knowledge
覚	bear-in-mind
常	usual
調	check-out
高	tall
向	turn-to-face
商	merchandise
過	surpass-too-much
楽	enjoy
薬	medicine
書	write
事	action-incident
康	health
君	buddy
争	battle
静	quiet
嫌	eww
残	remain-behind
嘘	lie
乏	shoddy
基	basis
期	period-of-time
勘	perception
邪	heresy
逆	opposite
以	compared-to
似	resemble
段	step-stairs
興	interest
誤	mistake
為	deed
偽	fake
才	skill-age
丈	robust
聞	listen-ask
遊	play-around
